,kingdom,supergroup,division,class,order,family,genus,species,taxon
Cercozoa_24,Eukaryota,Rhizaria,Cercozoa,Filosa-Granofilosea,Limnofilida,Limnofilidae,Limnofilidae_X,Limnofilidae_X_sp.,Limnofilidae_X_sp.
Cercozoa_250,Eukaryota,Rhizaria,Cercozoa,Phaeodarea,,,,,Phaeodarea
Cercozoa_251,Eukaryota,Rhizaria,Cercozoa,Phaeodarea,,,,,Phaeodarea
Cercozoa_324,Eukaryota,Rhizaria,Cercozoa,Filosa-Sarcomonadea,Cercomonadida,Cercomonadidae,Cercomonas,Cercomonas_sp.,Cercomonas_sp.
Cercozoa_64,Eukaryota,Rhizaria,Cercozoa,Filosa-Imbricatea,Thaumatomonadida,Peregriniidae,Peregrinia,Peregrinia_clavideferens,Peregrinia_clavideferens
Cercozoa_8,Eukaryota,Rhizaria,Cercozoa,Filosa-Granofilosea,Filosa-Granofilosea_X,Massiteriidae,Massisteria,Massisteria_marina,Massisteria_marina
Chlorophyta_753,Eukaryota,Archaeplastida,Chlorophyta,Mamiellophyceae,Mamiellales,Mamiellaceae,Micromonas,Micromonas_clade_B5,Micromonas_clade_B5
Ciliophora_104,Eukaryota,Alveolata,Ciliophora,Spirotrichea,Hypotrichia,Hypotrichia_X,Hypotrichia_XX,Hypotrichia_XX_sp.,Hypotrichia_XX_sp.
Ciliophora_135,Eukaryota,Alveolata,Ciliophora,Spirotrichea,Euplotia,Discocephalidae,,,Discocephalidae
Ciliophora_800,Eukaryota,Alveolata,Ciliophora,Oligohymenophorea,Scuticociliatia_1,Philasterida,Philasterida_X,Philasterida_X_sp.,Philasterida_X_sp.
Cryptophyta_23,Eukaryota,Hacrobia,Cryptophyta,Cryptophyceae,Cryptomonadales,Cryptomonadales_X,Hanusia,Hanusia_phi,Hanusia_phi
Discoba_26,Eukaryota,Excavata,Discoba,Jakobida,Jakobida_X,Jakobidae,Jakoba,Jakoba_libera,Jakoba_libera
Metamonada_15,Eukaryota,Excavata,Metamonada,Preaxostyla,Oxymonadida,Pyrsonymphidae,Dinenympha,Dinenympha_sp.,Dinenympha_sp.
Metamonada_33,Eukaryota,Excavata,Metamonada,Fornicata,Fornicata_X,Carpediomonas-like,Kipferlia,Kipferlia_bialata,Kipferlia_bialata
Opalozoa_9,Eukaryota,Stramenopiles,Opalozoa,Bicoecea,Anoecales,Cafeteriaceae,Cafeteria,Cafeteria_roenbergensis,Cafeteria_roenbergensis
Pseudofungi_52,Eukaryota,Stramenopiles,Pseudofungi,Hyphochytriomyceta,Hyphochytrydiales,Hyphochrytriaceae,,,Hyphochrytriaceae
Radiolaria_43,Eukaryota,Rhizaria,Radiolaria,RAD-A,RAD-A_X,RAD-A_XX,RAD-A_XXX,RAD-A_XXX_sp.,RAD-A_XXX_sp.
Radiolaria_67,Eukaryota,Rhizaria,Radiolaria,,,,,,Radiolaria
Rhodophyta_125,Eukaryota,Archaeplastida,Rhodophyta,Bangiophyceae,Bangiales,Bangiaceae,Minerva,Minerva_aenigmata,Minerva_aenigmata
Sagenista_86,Eukaryota,Stramenopiles,Sagenista,MAST-6,MAST-6_X,MAST-6_XX,MAST-6_XXX,MAST-6_XXX_sp.,MAST-6_XXX_sp.
Streptophyta_20,Eukaryota,Archaeplastida,Streptophyta,Embryophyceae,Embryophyceae_X,Embryophyceae_XX,Dacrycarpus,Dacrycarpus_imbricatus,Dacrycarpus_imbricatus
Streptophyta_3,Eukaryota,Archaeplastida,Streptophyta,Embryophyceae,Embryophyceae_X,Embryophyceae_XX,,,Embryophyceae_XX
Streptophyta_547,Eukaryota,Archaeplastida,Streptophyta,Embryophyceae,Embryophyceae_X,Embryophyceae_XX,Solanum,,Solanum
Telonemia_16,Eukaryota,Hacrobia,Telonemia,Telonemia_X,Telonemia_XX,Telonemia-Group-2,Telonemia-Group-2_X,Telonemia-Group-2_X_sp.,Telonemia-Group-2_X_sp.
Telonemia_27,Eukaryota,Hacrobia,Telonemia,Telonemia_X,Telonemia_XX,Telonemia-Group-1,Telonemia-Group-1_X,Telonemia-Group-1_X_sp.,Telonemia-Group-1_X_sp.
Cercozoa_55,Eukaryota,Rhizaria,Cercozoa,Filosa-Imbricatea,Thaumatomonadida,Thaumatomonadidae,Thaumatomonas,Thaumatomonas_seravini,Thaumatomonas_seravini
Chlorophyta_388,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyceae,Chlamydomonadales,Chlamydomonadales_X,Chlorosphaeropsis,Chlorosphaeropsis_alveolata,Chlorosphaeropsis_alveolata
Ochrophyta_54,Eukaryota,Stramenopiles,Ochrophyta,Chrysophyceae,Chrysophyceae_X,Chrysophyceae_Clade-H,Chrysophyceae_Clade-H_X,Chrysophyceae_Clade-H_X_sp.,Chrysophyceae_Clade-H_X_sp.
