,n16S.mean,n16S.sd,nge.mean,nge.sd,ncds.mean,ncds.sd,genome_size.mean,genome_size.sd,GC.mean,GC.sd,phi.mean,phi.sd,confidence.mean,confidence.sd
08.06.2019_5B_24h_16S.exp.,1.843059189,0.52081965,2.529441978,0.807149898,2845.94974,383.7281865,3158183.331,395538.5064,58.39976486,8.343497112,0.431617331,0.140599563,0.474707551,0.157061384
2019.08.06_1.3_16S.exp.,1.957028334,0.355549703,2.399593166,1.251618163,2957.467921,369.4112147,3292471.798,315735.8135,55.92364044,8.016634963,0.381207009,0.117785746,0.464742555,0.16788642
2019.08.06_1.2_16S.exp.,1.961747192,0.361582513,2.383557898,1.197985424,2958.365899,368.2112847,3292713.091,316418.2641,56.09318401,8.072483017,0.382664915,0.119188072,0.468879192,0.168889629
2019.08.06_5.2_16S.exp.,1.846440007,0.4708991,2.494548344,0.793314691,2830.012076,380.5636079,3146497.891,390573.5199,57.87897831,8.615926849,0.418821547,0.140209772,0.464763597,0.161315751
2019.08.07_6.5_16S.exp.,1.987683511,0.295039432,2.311615184,1.039539693,2929.062164,365.3699931,3283051.729,315822.6286,55.09733416,8.008887446,0.366264935,0.110171496,0.459900244,0.174485265
2019.08.07_6.3_lab_16S.exp.,2.00537561,0.27226854,2.208332051,0.940027644,2921.086096,325.6387169,3276824.113,254228.7148,54.87852753,7.85505434,0.363249942,0.106188057,0.455164401,0.172911591
08.06.2019_1B_48h_16S.exp.,1.979149585,0.360023865,2.375663632,1.197709045,2996.947943,372.1051097,3309180.262,329094.0499,57.24254095,8.011400809,0.393092666,0.113642821,0.473058028,0.158079497
2019.08.06_3.1_16S.exp.,2.027323473,0.279133226,2.36171413,0.821205472,2873.609432,396.621343,3252647.981,366010.1116,53.66345771,7.804746231,0.349434952,0.111460098,0.445337099,0.185365585
08.06.2019_3B_24h_16S.exp.,2.037594556,0.274021991,2.356640725,0.850039545,2896.590232,376.8623483,3267667.562,333061.4831,54.17109732,7.91140684,0.354462531,0.108557278,0.452457978,0.181586023
2019.08.07_8.2_lab_16S.exp.,1.998393047,0.279074024,2.233456531,0.99918304,2925.873876,343.4944765,3277017.87,284002.1091,54.98660312,7.890987553,0.362981516,0.103190886,0.45784727,0.172365874
08.06.2019_1A_10h_16S.exp.,1.966817087,0.356977867,2.376129402,1.178704328,2988.275151,368.5517008,3306611.03,323850.1413,56.94654396,8.002881791,0.391937337,0.116431923,0.474462949,0.161044572
2019.08.06_5.1_16S.exp.,1.800728731,0.502077639,2.484032339,0.829280426,2813.735321,371.9076798,3125998.187,386669.065,57.9394791,8.391202742,0.429244774,0.143748583,0.478592643,0.16226303
2019.08.06_2.3_surface_16S.exp.,2.174430123,0.087398918,2.35883757,0.088713033,3181.594546,137.8475402,3370101.758,143396.4165,65.76761261,2.030773458,0.465334127,0.031175828,0.499117807,0.033726731
2019.08.07_7_salt_16S.exp.,1.995731325,0.34684295,2.177782307,1.348014259,3132.561576,394.2666107,3378678.714,375918.6492,59.10913944,6.465581905,0.420422833,0.096210571,0.446584779,0.11560205
2019.08.07_7.1_16S.exp.,1.912730276,0.420024039,2.524933152,1.411696613,2985.930793,382.255143,3301021.113,336009.9997,56.93545659,7.998924186,0.399638312,0.126755587,0.476806051,0.163002757
2019.08.06_2.1_bottom_16S.exp.,2.073842179,0.326871496,2.293361079,0.522117624,3058.818614,427.2845113,3260312.219,457558.6559,63.74874136,5.983800283,0.45287251,0.092548734,0.48897646,0.100927994
2019.08.07_7.3_16S.exp.,1.934335931,0.388470438,2.428740384,1.345334112,2985.791744,383.2702787,3299959.499,342296.9237,56.80299033,7.88675204,0.396346543,0.122968224,0.474025608,0.162088471
08.06.2019_1A_48h_16S.exp.,1.97099358,0.358553127,2.390421119,1.129296824,2964.119267,345.333721,3300276.02,285821.7897,56.53135376,8.218543436,0.385592026,0.11817978,0.471178625,0.166248098
08.06.2019_3A_48h_16S.exp.,2.042531951,0.269592907,2.34634491,0.816404034,2886.563132,363.3336996,3257711.855,321430.4998,54.32746907,8.100232775,0.353778568,0.107427568,0.450820475,0.180897116
2019.08.06_4_sediment_16S.exp.,1.74282369,0.492671898,2.883574381,0.773499267,3144.432842,345.0738117,3384184.641,388495.7836,63.21286944,5.418324816,0.475861227,0.104315061,0.469650383,0.10424125
2019.08.07_6_salt_16S.exp.,1.946265094,0.437843326,2.145544278,1.259171496,3068.075363,358.8834637,3311338.988,345824.9938,59.9673905,6.23923818,0.437250246,0.100587353,0.47725787,0.119422685
2019.08.06_2.2_surface_16S.exp.,2.17330869,0.094799525,2.352970621,0.111505467,3176.315313,182.1147347,3364190.675,193477.8817,65.68929802,2.495973756,0.463551087,0.039745393,0.497323244,0.043198855
2019.08.06_4_CP_0.2_16S.exp.,2.050496224,0.300479869,2.318827267,0.756738548,2888.129254,309.2532146,3271738.973,228203.8508,54.06302758,7.782351481,0.355918938,0.106503965,0.427719625,0.168502469
