,n16S.mean,n16S.sd,nge.mean,nge.sd,ncds.mean,ncds.sd,genome_size.mean,genome_size.sd,GC.mean,GC.sd,phi.mean,phi.sd,confidence.mean,confidence.sd
08.06.2019_5B_10h_16S.exp.,1.386666667,1.147577299,3.086195286,1.618676626,3050.771549,844.2166377,3730370.244,1042557.114,63.01870537,8.080572418,0.389146534,0.071604934,0.480648587,0.140507912
08.06.2019_3B_10h_16S.exp.,1.003568658,0.123896696,4.437419188,0.946234945,3083.463512,90.67334576,3885249.607,126922.8875,65.74214149,0.808922504,0.366363185,0.005633155,0.445558946,0.130140395
08.06.2019_5B_48h_16S.exp.,1.159880538,0.860709135,3.492110503,1.533600734,3194.167438,618.6234498,3929448.11,590669.7386,65.09982988,4.080941775,0.379120355,0.038872331,0.469637882,0.133725091
2019.08.06_1_salt_16S.exp.,1.101062008,0.771135084,3.8481786,1.584857741,2818.035286,752.4343436,3604715.952,895113.0573,60.21343324,11.818458,0.373137014,0.02591367,0.461397758,0.12997735
08.06.2019_4A_10h_16S.exp.,1.972391157,0.90316911,1.213891728,0.650681136,2466.870089,957.8617275,2807781.474,1207332.464,49.23340452,14.61030712,0.437026511,0.120658378,0.515719702,0.147624694
08.06.2019_1A_10h_16S.exp.,1.25436409,1.209106763,3.483063175,1.51646449,2986.599335,693.0169288,3802354.995,915014.9481,62.36612382,9.762227108,0.364889781,0.028430129,0.55068269,0.142302406
08.06.2019_2_Bottom_T0_16S.exp.,1.965933562,1.070479073,1.20898445,0.617618918,2819.264922,990.1903211,3197848.408,1222950.437,55.28226886,13.91528144,0.434521274,0.108691685,0.481946411,0.147459933
08.06.2019_4A_48h_16S.exp.,1.442991632,1.19551838,3.383891213,1.732840981,3034.462866,919.7289091,3677203.157,1039903.21,60.49439354,11.05827168,0.400001906,0.064993019,0.460615275,0.119207981
08.06.2019_1A_48h_16S.exp.,1.201340326,1.077138389,3.745629371,1.355387133,2961.140618,690.8747865,3772483.735,891587.0595,62.18574185,9.941348947,0.366716374,0.026854696,0.54781747,0.140614758
2019.08.06_3.1_16S.exp.,1.019836501,0.253367418,4.225040827,1.276479071,3078.273861,154.4450965,3871806.198,202649.6746,65.59973517,2.31381096,0.367170096,0.013771063,0.434084244,0.124445619
2019.08.07_7_sediment_16S.exp.,1.879926992,1.176131161,2.228520615,1.473978944,2637.878128,732.5836718,3174116.844,968906.5368,57.23453633,11.16273904,0.395651312,0.079050931,0.483681313,0.154394644
08.06.2019_2B_Top_48h_16S.exp.,2.014608875,0.853580208,1.072042894,0.386755936,2606.728981,939.762296,2960498.71,1208072.273,51.45804748,15.91095981,0.444002429,0.100771228,0.476718404,0.131210927
2019.08.07_7.2_16S.exp.,1.317893525,1.337544258,3.732551078,1.449496143,3103.290052,617.6512812,3938630.789,875849.0751,63.6422466,7.94701884,0.361718267,0.031375453,0.555495365,0.143381868
2019.08.07_8.2_16S.exp.,1.126716141,0.862235556,4.010482375,1.305750286,3090.510328,375.9864336,3903558.632,546528.3846,65.07499478,4.71107455,0.363956722,0.018090077,0.497123423,0.14783748
08.06.2019_1B_48h_16S.exp.,1.269774751,1.239906274,3.861183866,1.400477804,3041.066178,666.0028868,3870255.101,894219.228,62.76102901,9.185161971,0.363792866,0.028063925,0.541411771,0.144198954
08.06.2019_5B_24h_16S.exp.,1.249425287,1.004045576,3.126005747,1.635895105,2959.395833,664.1569239,3619635.706,830973.0229,63.3536913,8.159945152,0.391906018,0.059004181,0.487849156,0.133170353
08.06.2019_3_T0_16S.exp.,1.006472111,0.186699967,4.249293952,1.224792719,3076.913195,115.8650795,3875473.195,167046.3858,65.73367568,1.187403728,0.366238869,0.00467145,0.438559033,0.127445699
2019.08.07_7.3_16S.exp.,1.36522718,1.430316817,3.990141902,1.29583129,3136.694501,647.1167918,3988183.536,925810.9574,63.45226416,8.219744112,0.360448348,0.032499883,0.5687715,0.138286436
2019.08.06_2.1_surface_16S.exp.,1.833171597,0.882740952,1.073488871,0.357543124,2440.079025,920.2742771,2738823.252,1171891.8,51.42981827,15.77908069,0.450302064,0.107612576,0.470679467,0.126103389
2019.08.06_4_CP_ULT_16S.exp.,1.55824364,1.509867884,3.524861337,1.618093835,3256.424338,1047.17176,3972224.584,1107728.563,62.47127731,8.747568643,0.386694408,0.05366172,0.49731523,0.137818152
2019.08.06_2.1_bottom_16S.exp.,2.092447436,1.005731188,1.197619791,0.765187235,2689.190718,973.7252163,3068401.771,1250832.061,50.36570193,15.80356697,0.425022117,0.120349903,0.456854596,0.148728769
2019.08.07_6.2_16S.exp.,1.098065922,0.741237928,2.446358849,1.758222312,2173.577272,968.8933441,2882395.853,1121383.706,49.5001738,15.35702791,0.392518509,0.034066987,0.464634851,0.113909022
08.06.2019_2B_Bottom_24h_16S.exp.,1.981823642,0.906732754,1.116994053,0.521131695,2726.494635,963.439984,3119391.545,1233175.413,53.39022892,14.89967197,0.430198046,0.117024673,0.472810018,0.153604876
2019.08.07_7.3_lab_16S.exp.,1.296298672,1.291707161,3.846462249,1.267946398,3076.429363,640.3107458,3909830.094,886922.596,63.34726047,8.44773604,0.36290896,0.032210054,0.574756863,0.1344861
08.06.2019_2A_Top_24h_16S.exp.,2.004882861,0.886199518,1.0779317,0.323363198,2681.557156,940.0597843,3065422.254,1219320.43,52.01601332,15.54754009,0.431270298,0.117252532,0.467351886,0.149357569
08.06.2019_1_T0_16S.exp.,1.230613621,1.153667118,3.775455158,1.303661959,3007.11688,652.2106642,3826171.525,862695.3925,62.78010817,9.196192751,0.364748069,0.02686235,0.561740745,0.137778419
08.06.2019_2A_Bottom_24h_16S.exp.,2.096242795,0.928968005,1.114136079,0.466491316,2723.908932,933.071619,3135362.556,1217874.559,49.72835538,15.17835632,0.409663217,0.125359689,0.458302163,0.168013577
2019.08.06_1.2_16S.exp.,1.315783568,1.337065339,3.686666106,1.594641168,3024.828906,735.1804048,3856186.435,983548.2493,62.06450416,10.07274142,0.363986718,0.031698275,0.530754313,0.146110145
2019.08.06_1.4_16S.exp.,1.236074271,1.16617831,3.735292117,1.394683546,2984.454125,690.0413032,3802276.866,901341.5586,62.26604161,9.840150906,0.365510492,0.027937569,0.549588725,0.141267666
08.06.2019_5A_48h_16S.exp.,1.308641975,1.020035729,3.42808348,1.367264819,3135.860999,762.0366533,3837074.317,862162.2692,64.25085373,5.475760344,0.388166182,0.060991814,0.527293243,0.137776936
2019.08.07_7.2_lab_16S.exp.,1.287218045,1.272638672,3.789454405,1.298703967,3068.271384,632.508003,3898026.587,877810.9469,63.3911766,8.38113607,0.363276035,0.032233568,0.573433024,0.135341528
2019.08.06_2.2_bottom_16S.exp.,2.035076432,1.020717638,1.163440341,0.645704738,2586.98319,934.3234527,2952307.03,1216490.875,49.98613897,15.45137502,0.427616409,0.11767894,0.461365069,0.147785609
2019.08.07_7.1_lab_16S.exp.,1.390469154,1.474950427,3.482883881,1.491595192,3078.890777,727.1370003,3919352.649,1008948.29,62.67625299,9.398294614,0.36135017,0.034369727,0.590763335,0.127545517
