,5,12,40,57,62,65,99,110,112,113,114,127,128,136,141,146,148,151,154,155,156,157,160,162,163,164,166,167,168,169,170,171,175,176,177,178,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,203,204,206,207,208,209,211,213,214,215,216,218,219,220,221,223,224,225,228,230,232,233,234,251,256,301,302,303,306,318,320,406,407,408,418,434,468,469,470,474
2019.08.07_8.3_16S.exp.,,,,,,,,,,,,,,,,,173,,152,40,4,,22,,2.545454545,100,58,91,20,,,,,124.6666667,9.608695652,,,,,,,,,33,,124.4827586,,111,5100.5,2770.5,,,222,15,,,68,,58,326,100,603.5,9.857142857,1080,,,,3212.5,,77,198.5454545,409.4656489,,15.38793103,,,,40,55,,,,,,,,,,,,
2019.08.06_3.2_16S.exp.,,,,,,,,,,,,,,,,,23,,68,,,,7.666666667,,1.818181818,195,58,44,3,,,,,121,,,,,,,120,,,,,148.0689655,8.5,107.5,4184,2059,,,213.5,,,,30,,,366,186.6666667,189,24,522.5,,,24.29166667,1527.5,,53.5,244.3636364,1411.603053,,,,,,124,49,,,,,,,,,,,,
2019.08.06_2.3_bottom_16S.exp.,,,,,,,,0.348484848,,,,,,,,,,,5,,,,10.66666667,,,8.333333333,4,,14,,,,,17.80952381,,95,,18,,,79,,,,,9.827586207,,,252,70,,,,,,,8,,4.4,55,,68.5,,52.08333333,,,3652,91,13,,11.93181818,49.00763359,,8.146551724,,,,57,,,,,,,9.818181818,,3.714285714,1.776,,,
2019.08.07_8_sediment_16S.exp.,,,199,,,,,,,,,,,,,,304,,350,67,139,,68,,19.27272727,52.66666667,76.5,161,160,84,,97,9,79.0952381,,205,,23,7,,356,,,,,55.03448276,,82.5,3244,1172.5,,,35.5,14.5,,12.5,129.5,,58.8,307,36.33333333,136,140.1428571,457.0833333,,0.428571429,42.16666667,2249,104.5,35.5,230.0454545,861.0687023,4.763392857,38.01724138,,,22.34285714,160,9,,,,,,,,27.85714286,,,,
2019.08.07_7.4_16S.exp.,,,,,,,,,,,,,,,,,505,,243,311,34,,20.33333333,,4.727272727,58.66666667,25.5,,17,,,,,52.9047619,36.73913043,,,,,,,,,47,,65.51724138,,53,2579,1680,,,33,,45.5,,100.5,,,127.5,35.66666667,486.5,6.857142857,1149.583333,,,3.666666667,2098.5,5.5,50,107.8636364,229.9236641,,9.956896552,,,,71,35,,,,,,,,,,,,
2019.08.06_2.2_bottom_16S.exp.,,,,,,,2.666666667,,,,,,,,,,3,,8,,,,22.33333333,,,,,,20,,,,,8.380952381,,76,,13,,,67,,,,,,,,188,59,,,,,,,,,,37.5,,48,14.14285714,,,,3100.166667,63,13.5,2.5,5.727272727,44.42748092,,10.86206897,,,,37,4,,,,,,0.981818182,13.33333333,0.928571429,4.736,,,
08.06.2019_5_T0_16S.exp.,,,,,,,18,,,0.795698925,,,,,,,32,,31,14,,,11.66666667,,,107.3333333,26,,,,,,,58.14285714,,,,27,,,44,,,,,66.82758621,,59,2590,1244,,,116,,,,16.5,,,237,83.33333333,136.5,,291.25,,,742.5,822,,33,124.5681818,435.1145038,,,,,,117,31,,,,,,,8.333333333,8.357142857,,,,
08.06.2019_2B_Bottom_10h_16S.exp.,,,,0.529411765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,,,,5,,,,,,,,13.5,,,,,,,,,,,,,,,,,,3383.416667,5,,,,2.290076336,,4.073275862,,,,18,,,,,,,10.8,5.833333333,5.571428571,3.552,,,
08.06.2019_2B_Bottom_48h_16S.exp.,,,,,,,,,,,,,,,,,,,,,,,,,,1.666666667,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,2622.125,,,,3.818181818,,,3.620689655,,,,25,,,,,,,,,,,,,
2019.08.06_3_sediment_16S.exp.,,,93,,,,,,,,,,,,,4,1401,9.333333333,796,186,546,,112.6666667,4,51.27272727,33.33333333,258.5,432,896,339,63,399,,42.95238095,,736,,83,17,14,275,19,,,,38.65517241,,36,1443,447.5,19,,24.5,51.5,6.5,35.5,189.5,3.5,114,309.5,18.66666667,139,225,368.3333333,15.5,,234.2083333,2183,477.5,122,177.0681818,921.5267176,4.330357143,108.6206897,,,113.6571429,185,,,,,,,1.963636364,,108.6428571,,,,
