,Apicomplexa_156,Apicomplexa_326,Apicomplexa_327,Apicomplexa_422,Apicomplexa_433,Apusomonadidae_1,Apusomonadidae_14,Apusomonadidae_4,Apusomonadidae_5,Apusomonadidae_8,Centroheliozoa_1,Centroheliozoa_2,Centroheliozoa_4,Centroheliozoa_5,Centroheliozoa_7,Centroheliozoa_8,Cercozoa_1,Cercozoa_106,Cercozoa_135,Cercozoa_139,Cercozoa_14,Cercozoa_144,Cercozoa_155,Cercozoa_161,Cercozoa_165,Cercozoa_167,Cercozoa_170,Cercozoa_173,Cercozoa_195,Cercozoa_196,Cercozoa_198,Cercozoa_199,Cercozoa_20,Cercozoa_200,Cercozoa_207,Cercozoa_21,Cercozoa_212,Cercozoa_218,Cercozoa_23,Cercozoa_237,Cercozoa_239,Cercozoa_24,Cercozoa_242,Cercozoa_249,Cercozoa_250,Cercozoa_251,Cercozoa_252,Cercozoa_285,Cercozoa_287,Cercozoa_288,Cercozoa_289,Cercozoa_294,Cercozoa_311,Cercozoa_32,Cercozoa_324,Cercozoa_33,Cercozoa_332,Cercozoa_337,Cercozoa_338,Cercozoa_339,Cercozoa_347,Cercozoa_36,Cercozoa_409,Cercozoa_41,Cercozoa_412,Cercozoa_416,Cercozoa_418,Cercozoa_424,Cercozoa_432,Cercozoa_50,Cercozoa_55,Cercozoa_61,Cercozoa_64,Cercozoa_79,Cercozoa_8,Cercozoa_81,Cercozoa_86,Cercozoa_94,Cercozoa_95,Cercozoa_96,Chlorophyta_352,Chlorophyta_388,Chlorophyta_440,Chlorophyta_684,Chlorophyta_753,Chlorophyta_815,Ciliophora_104,Ciliophora_1186,Ciliophora_1225,Ciliophora_1308,Ciliophora_1325,Ciliophora_1344,Ciliophora_135,Ciliophora_1416,Ciliophora_1461,Ciliophora_1639,Ciliophora_191,Ciliophora_246,Ciliophora_357,Ciliophora_428,Ciliophora_446,Ciliophora_471,Ciliophora_472,Ciliophora_473,Ciliophora_520,Ciliophora_574,Ciliophora_583,Ciliophora_585,Ciliophora_667,Ciliophora_750,Ciliophora_78,Ciliophora_800,Ciliophora_807,Ciliophora_817,Ciliophora_818,Conosa_124,Conosa_125,Conosa_126,Conosa_135,Conosa_30,Conosa_41,Conosa_64,Conosa_69,Conosa_91,Conosa_96,Conosa_97,Cryptophyta_116,Cryptophyta_12,Cryptophyta_23,Cryptophyta_33,Cryptophyta_34,Cryptophyta_41,Cryptophyta_5,Cryptophyta_83,Cryptophyta_84,Dinoflagellata_1171,Dinoflagellata_1195,Dinoflagellata_1204,Dinoflagellata_124,Dinoflagellata_1249,Dinoflagellata_1376,Dinoflagellata_1397,Dinoflagellata_1417,Dinoflagellata_1495,Dinoflagellata_1539,Dinoflagellata_1541,Dinoflagellata_1597,Dinoflagellata_1712,Dinoflagellata_1729,Dinoflagellata_1778,Dinoflagellata_1804,Dinoflagellata_1817,Dinoflagellata_1928,Dinoflagellata_1942,Dinoflagellata_716,Dinoflagellata_717,Dinoflagellata_961,Dinoflagellata_97,Discoba_16,Discoba_17,Discoba_18,Discoba_25,Discoba_26,Discoba_30,Discoba_32,Discoba_34,Glaucophyta_2,Glaucophyta_6,Katablepharidophyta_1,Lobosa_27,Lobosa_39,Lobosa_44,Metamonada_11,Metamonada_12,Metamonada_15,Metamonada_16,Metamonada_17,Metamonada_19,Metamonada_22,Metamonada_24,Metamonada_30,Metamonada_33,Metamonada_6,Metamonada_7,Ochrophyta_1092,Ochrophyta_4,Ochrophyta_54,Ochrophyta_731,Ochrophyta_881,Opalozoa_10,Opalozoa_12,Opalozoa_131,Opalozoa_14,Opalozoa_164,Opalozoa_17,Opalozoa_173,Opalozoa_176,Opalozoa_180,Opalozoa_186,Opalozoa_190,Opalozoa_194,Opalozoa_198,Opalozoa_2,Opalozoa_25,Opalozoa_30,Opalozoa_4,Opalozoa_9,Picozoa_13,Picozoa_2,Picozoa_3,Picozoa_4,Pseudofungi_114,Pseudofungi_49,Pseudofungi_52,Pseudofungi_55,Radiolaria_0,Radiolaria_10,Radiolaria_101,Radiolaria_102,Radiolaria_103,Radiolaria_108,Radiolaria_11,Radiolaria_115,Radiolaria_116,Radiolaria_19,Radiolaria_2,Radiolaria_29,Radiolaria_30,Radiolaria_32,Radiolaria_33,Radiolaria_35,Radiolaria_36,Radiolaria_38,Radiolaria_43,Radiolaria_44,Radiolaria_45,Radiolaria_47,Radiolaria_48,Radiolaria_49,Radiolaria_50,Radiolaria_63,Radiolaria_66,Radiolaria_67,Radiolaria_71,Radiolaria_90,Rhodophyta_125,Rhodophyta_263,Rhodophyta_314,Sagenista_118,Sagenista_119,Sagenista_125,Sagenista_130,Sagenista_160,Sagenista_165,Sagenista_170,Sagenista_209,Sagenista_30,Sagenista_31,Sagenista_36,Sagenista_46,Sagenista_48,Sagenista_49,Sagenista_50,Sagenista_51,Sagenista_53,Sagenista_54,Sagenista_61,Sagenista_63,Sagenista_66,Sagenista_71,Sagenista_79,Sagenista_84,Sagenista_86,Sagenista_88,Sagenista_98,Streptophyta_2,Streptophyta_20,Streptophyta_229,Streptophyta_3,Streptophyta_30,Streptophyta_350,Streptophyta_390,Streptophyta_419,Streptophyta_424,Streptophyta_433,Streptophyta_437,Streptophyta_453,Streptophyta_458,Streptophyta_464,Streptophyta_474,Streptophyta_476,Streptophyta_48,Streptophyta_487,Streptophyta_494,Streptophyta_503,Streptophyta_504,Streptophyta_507,Streptophyta_51,Streptophyta_520,Streptophyta_521,Streptophyta_541,Streptophyta_543,Streptophyta_547,Streptophyta_550,Streptophyta_552,Streptophyta_557,Streptophyta_59,Telonemia_16,Telonemia_17,Telonemia_27,Telonemia_28,Telonemia_29,Telonemia_3
2019.08.06_2_sediment_18S.18S.exp.,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,,,,,,,,,,,,,3,,,,,,,,,,,,,6,,,,,,,,,,,,,,3,,,,,,,,,,,621,,,,,,10,,,,,,,19,,,,38,,26,,4,,,,,,,,136,,,,,,,,17,,,,,122,53,,7198,,,,,7,,,,13,,,,,,86,3,,,3,,,,55,,,,37,,,,,,,,,,7,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,5463
08.06.2019_1_T0_18S.18S.exp.,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,384,,105,,,,436,,1036,4010,,,,,,,57,,,,,,,,,,,,5385,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,
2019.08.06_2.3_surface_18S.18S.exp.,,676,,,,,,,,,,,14,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,,,,,,,,,,,,10,,,,,,,,,679,,,,,,,22,,,,,,,,,,,,29,175,8,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,25,,,,,,,,,,,,9,,,,,,,,,,,,,,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14859
08.06.2019_2B_Bottom_48h_18S.18S.exp.,,32,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,3,,,2,,,6,,,,,,,,,,,,,,,,,,,,,94,,,2,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,96,,,,,,,,,,,,,,,,,,,,,,6034,,,,,,,150,,,,,,,,,,,,16,342,14,,,,,,,,,,,,7,,,53,,,,,,9,,,,,,,,,,,,,11,,,15,,22,,134,,,,,,,46,38,,27,,,,5170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10822
08.06.2019_2A_Bottom_10h_18S.18S.exp.,21,140,,,,,,,2,14,,,2,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,,,,,,,5,,,24,4,7,95,,,,,,,20,,,,,,,,,,,,,,7,7,,11,,,,,,,5,,,,,,,,,,,5,,,,,,,,,,25,,,,,,,,,,,17,,,4,,,,,,,,,1374,,,,,,,,1,8,,,,104,,,,6,,,,16,3956,,29,,,,87,779,,,,,,,,,,,,87,270,50,,113,,,,,,,,,,19,,,,,2970,,,,105,,,,,,,,119,,,,,,58,,95,52,58,,51,4,,3,,,,28,12,,16,,,,981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3518
08.06.2019_5B_24h_18S.18S.exp.,,,,,,,,,,,,,,,,,375,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,198,,,,,,,,,,,,,,,,,,,,,5,,,,,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,377,,,,,,,,99,2591,,,,,,,166,,,,,,,,,,,,194,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,197,,,,94,,,,,,,,,,,,,,,,34,,,,,61,,526
2019.08.07_8.3_lab_18S.18S.exp.,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,745,,196,,,,,,717,4518,,,,,,,16,,,,,,,,,,,,700,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
08.06.2019_2B_Top_48h_18S.18S.exp.,,37,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,68,,,,,,,,,,,,4,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173,,,,,,,,,,,,,71,,,,,,,,,4035,,,,,,30,525,,,,,,,,,,,,20,201,5,,4,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,11,,243,,,,,,,166,109,,25,,,,5207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6633
2019.08.07_7_salt_18S.18S.exp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,4,21,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,,,,12,,,6,,,,,,,,1,,,,,,,,,1123,,148,,,,69,,488,978,,,,2,,,35,,,,,,,,,,,,12344,139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,8
2019.08.07_6_salt_18S.18S.exp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,278,,,,,,,,66,236,,,,,,,,,,,,,,,,,,,6719,2959,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113,,2329
2019.08.06_1_CP_0.2_18S.18S.exp.,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,3,,,,,,,,,,,,,232,,41,,,,,,107,1212,,,,,,,181,,,,,,,,,,,,17731,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,17
08.06.2019_1A_48h_18S.18S.exp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,869,,237,,,,,,972,6681,,,,,,,621,,,,,,,,,,,,13128,,,,,,,,,,,,,,,,,9,,,,,74,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
08.06.2019_2A_Top_10h_18S.18S.exp.,,21,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,254,,,,,,,,,,,,,107,,,,,,,,,8564,,,,,,,1105,,,,,,,,,,,,19,31,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,11,,,,,,,5,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82
08.06.2019_4A_24h_18S.18S.exp.,,,,,60,,,,,,,,,,,,426,,,,,,,,,,,254,,,,,58,,,,,,,,,,,,,,,,,367,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179,,,,,,,,921,1005,,,,,,,82,,,,,,,,,,,,129,199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89,,,,,,,77,,,,,29,,,,,,,,,,,454
08.06.2019_2A_Top_24h_18S.18S.exp.,,61,,,,,,,,,,1,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,75,5,,,,,,,,,,,6,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,6,,,,,3,1,,,,,,338,,,,,,,,,,,,,138,,,,,,,,,10574,,,,,,43,1264,,,,,,,,,,,,36,285,18,,6,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,18,,238,,,,,,,156,115,,19,,,,3205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2793
08.06.2019_4A_diluted_48h_18S.18S.exp.,,,,,,,,81,,24,,,,,,,204,28,,,,80,,,,,,113,,,,,,,,,,,,,,,,,,,,,,118,,,,,,,,,,,,,,,,,,,,,,,,,31,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,,,,,,,66,,,,,,,,,,,,,94,,,,,,,,132,1925,,,,,,,38,,,,,48,,,,,,,,69,,13,,,,,,,,,,,,,,,,,,,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192,,,,,,,,,,,,,,,147,,,,,,,,,,,74,,,,,,,,,,41,,1391
08.06.2019_3B_24h_18S.18S.exp.,,3,,,,,,,5,,,,,,,,2881,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,112,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,,,,3,,,,,,,,,,,,,,,,,,,,1090,,124,,,,,,431,7986,,,,,,,118,,,,,,,,,,,,726,38,,15,,,,,,,,,,,,,,,,,,,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,19,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,43
2019.08.06_4.5_18S.18S.exp.,,,,,,,,,,,,,16,,,,97,,,,,,,,,,,,,,,,,,,,,,,,61,,,,,,,,,377,,,,,,,,,,,,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,,,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,87,,,,,,,,,790,,,,,,,30,,,,,,,,,,,,,62,,,,,,,,,,,,,,,,,,,,,78,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,79,,,,,,,,,,,,,,,,,,,,,28,,,,,,,,,,,,,,,,3287
08.06.2019_3A_10h_18S.18S.exp.,,,,6,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,34,,,,,,,,,,,,3,,,,,,,,,,,,,,3,,,,,,,,,,4,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,,,,5,,,,,,,33,,,,,,,,,,,,,1125,,134,,,,,,1511,7595,,,,,,,375,,,,,,,,,,,,15,766,,5,,,,,,,,,,,,,,4,,54,,,101,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,3,,41
2019.08.06_1.4_18S.18S.exp.,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,538,,144,,,,,,261,3523,,,,,,,77,,,,,,,,,,,,6370,,,,,,,,,,,,,,,,,9,,,,,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,6
2019.08.06_2.1_surface_18S.18S.exp.,,4695,,,,9,,,,28,,4,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,,,,,,,,,,95,,,43,,,,,,,,24,,,,,,,,,,,,,102,23,,2,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,223,,,,,,,,,,,,,53,,,,,,,,13,4193,,,,,,31,388,,,,,,,,,,,,,1923,28,,14,,,,3,,9,,,,1,,,,,3,,,,122,,,5,,,,,,,,,,,,,,,,,86,,,,7,,,32,84,16,11,,,,644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1318
08.06.2019_2B_Bottom_10h_18S.18S.exp.,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,8,,,15,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,723,,,,,,,,,,,,,63,,,,,,,,9,4523,,,,,,25,523,,,,,,,,,,,,6,157,13,,47,,,,,,,,,,15,,,,,1339,,,,19,,,,,,,,13,,,,,,26,,62,18,25,,16,,,,,,,,,,,,,,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,284
08.06.2019_4_T0_18S.18S.exp.,,,,,,,,,,,,,,,,,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,564,,,18,12,,,,,,,,,,,,117,,,,,,,,,,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,214,,,,,,,,193,3000,,,,,,,152,,,,,,,,,,,,,95,,151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,270,,,,,,,12,,,,,,,,,,,110,,,,,1669
2019.08.06_1_CP_ULT_18S.18S.exp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,175,,47,,,,,,82,1177,,,,,,,,,,,,,,,,,,,11766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019.08.06_4_CP_0.2_18S.18S.exp.,,,,84,,,,,,,,,,,,,157,,17,,,,,,,,,135,,,,53,,,,,,,,,,,,,,,,,,76,,,,,,,,,,,,137,,,,,36,,40,,,,,,21,184,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,,,,,,,,,,,,,,,,,,,,100,,51,,,,,,100,1804,,,,,,,152,,,,,36,,,,,,26,,380,,82,,,,,139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115,23,,,,,,,,,,64,,,,99,,,,,,,,,,,,,32,,,5,,,,,41,,389
08.06.2019_2B_Bottom_24h_18S.18S.exp.,,85,,,,,,,,,,,6,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,473,,,,,,,,,,,,,22,,,8,,,,,,7799,,,,,,,220,,,,,,,,,,,,10,414,2,,16,,,,,,,,,,11,,,2,,,,,,6,,,,,,,,10,,,,,,,,,,,,71,,,,,,,15,18,,3,,,,1557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2319
08.06.2019_3B_48h_18S.18S.exp.,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,564,,89,,,,,,212,4790,,,,,,,220,,,,,,,,,,,,137,,,,,,,,,,,,,,,,,,,,,,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
08.06.2019_2_Bottom_T0_18S.18S.exp.,13,232,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,23,,,,,,,3,,,25,,,67,,,,,,,,,,,,,,,,,,,,,32,6,,6,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,925,,,,,,,,,,,,,80,7,,,,,,,11,3050,,,,,,51,584,,,,,,,,,,,,70,489,24,,154,,,,,,,,,,13,,,18,,2165,,,,67,,,1,,,,,,,,,,16,,7,26,,22,3,81,,,,,,,44,20,20,4,,,,931,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3941
2019.08.07_7.1_lab_18S.18S.exp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,1603,,470,,,,95,,1391,12150,,,,,,,178,,,,,,,,,,,,2608,,,,,,,,3,,,,,,21,,,31,,,,,146,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,6
2019.08.06_4_salt_18S.18S.exp.,,,,,,,,,,,,10,,,,,1740,26,,15,,84,,,,3,,135,,,6,,,,,,24,,,4,22,,195,,,,3,,,19,,,,,,393,8,,13,,,54,,10,54,29,41,,15,7,,,,,171,210,,,12,11,,,,11,,4,,,,4,,,,,,,,,6,,,,,7,,,,,,,,,,,,8,,,,,,,17,,,,,,5,,,,,,,,,,,1,,,4,,,,,26,,,,,,,,,,,,,28,,,7,,8,,,26,34,,,,3,,,15,,,2,,,,,,,,,,37,,,2,,,,,75,966,,,2,,,,15,,6,,,9,,,,6,,105,28,6626,9,4889,7,17,,,26,,,,,,6,,,,,,,16,,,189,146,,,,15,,92,11,43,,6,,,,,,,,,,,,,,,,,,,10,,39,237,92,41,,,,,,,,,31,18,,,,,168,,9,151,,993,6,,,27,,16,71,,27,,32,,,452,,3679
